,RaceId,DriverId,ConstructorId_x,GridNumber,DriverPosition,ConstructorId_y,QualifyingPosition
375,19,14,9,12,9,9.0,12.0
376,19,15,7,3,4,7.0,5.0
377,19,16,10,20,\N,10.0,21.0
378,19,17,9,6,7,9.0,8.0
379,19,18,11,11,10,11.0,11.0
380,19,19,8,21,15,8.0,22.0
381,19,20,5,15,\N,5.0,15.0
382,19,21,10,17,12,10.0,17.0
383,19,22,11,14,13,11.0,14.0
384,20,1,1,3,13,1.0,3.0
385,20,2,2,6,4,2.0,6.0
386,20,3,3,8,8,3.0,8.0
387,20,4,4,10,10,4.0,10.0
388,20,5,1,5,5,1.0,5.0
389,20,6,3,16,14,3.0,16.0
390,20,7,5,15,15,5.0,15.0
391,20,8,6,4,2,6.0,4.0
392,20,9,2,1,3,2.0,1.0
393,20,10,7,13,9,7.0,13.0
394,20,11,8,22,17,8.0,22.0
395,20,12,4,14,\N,4.0,14.0
396,20,13,6,2,1,6.0,2.0
397,20,14,9,17,18,9.0,17.0
398,20,15,7,7,6,7.0,7.0
399,20,16,10,20,19,10.0,20.0
400,20,17,9,11,7,9.0,11.0
401,20,18,11,9,\N,11.0,9.0
402,20,19,8,21,16,8.0,21.0
403,20,20,5,19,\N,5.0,19.0
404,20,21,10,18,12,10.0,18.0
405,20,22,11,12,11,11.0,12.0
406,21,1,1,5,3,1.0,5.0
407,21,2,2,9,9,2.0,9.0
408,21,3,3,15,\N,3.0,15.0
409,21,4,4,2,\N,4.0,2.0
410,21,5,1,6,\N,1.0,6.0
411,21,6,3,12,7,3.0,12.0
412,21,7,5,16,\N,5.0,16.0
413,21,8,6,1,1,6.0,1.0
414,21,9,2,4,4,2.0,4.0
415,21,10,7,14,11,7.0,14.0
416,21,11,8,22,13,8.0,22.0
417,21,12,4,10,\N,4.0,10.0
418,21,13,6,3,2,6.0,3.0
419,21,14,9,17,12,9.0,17.0
420,21,15,7,8,8,7.0,8.0
421,21,16,10,20,\N,10.0,20.0
422,21,17,9,7,5,9.0,7.0
423,21,18,11,13,6,11.0,13.0
424,21,19,8,21,\N,8.0,21.0
425,21,20,5,18,\N,5.0,18.0
426,21,21,10,19,10,10.0,19.0
427,21,22,11,11,\N,11.0,11.0
428,22,1,1,3,2,1.0,3.0
429,22,2,2,9,5,2.0,9.0
430,22,3,3,11,8,3.0,11.0
431,22,4,4,7,6,4.0,7.0
432,22,5,1,2,12,1.0,2.0
433,22,6,3,16,\N,3.0,16.0
434,22,7,5,18,\N,5.0,18.0
435,22,8,6,4,3,6.0,4.0
436,22,9,2,5,4,2.0,5.0
437,22,10,7,15,13,7.0,15.0
438,22,12,4,17,15,4.0,17.0
439,22,13,6,1,1,6.0,1.0
440,22,14,9,10,9,9.0,10.0
441,22,15,7,8,10,7.0,8.0
442,22,16,10,19,16,10.0,20.0
443,22,17,9,6,7,9.0,6.0
444,22,18,11,13,11,11.0,13.0
445,22,20,5,14,17,5.0,14.0
446,22,21,10,20,\N,10.0,19.0
447,22,22,11,12,14,11.0,12.0
448,23,1,1,3,1,1.0,3.0
449,23,2,2,12,14,2.0,13.0
450,23,3,3,6,\N,3.0,6.0
451,23,4,4,7,10,4.0,7.0
452,23,5,1,4,8,1.0,4.0
453,23,6,3,13,7,3.0,14.0
454,23,7,5,16,\N,5.0,16.0
455,23,8,6,2,9,6.0,2.0
456,23,9,2,5,2,2.0,5.0
457,23,10,7,10,12,7.0,11.0
458,23,12,4,17,\N,4.0,17.0
459,23,13,6,1,3,6.0,1.0
460,23,14,9,15,\N,9.0,10.0
461,23,15,7,8,13,7.0,8.0
462,23,16,10,18,\N,10.0,19.0
463,23,17,9,9,4,9.0,9.0
464,23,18,11,11,11,11.0,12.0
465,23,20,5,19,5,5.0,18.0
466,23,21,10,20,\N,10.0,20.0
467,23,22,11,14,6,11.0,15.0
468,24,1,1,1,\N,1.0,1.0
469,24,2,2,8,2,2.0,8.0
470,24,3,3,5,10,3.0,5.0
471,24,4,4,4,\N,4.0,4.0
472,24,5,1,7,9,1.0,7.0
473,24,6,3,12,\N,3.0,12.0
474,24,7,5,18,13,5.0,16.0
475,24,8,6,3,\N,6.0,3.0
476,24,9,2,2,1,2.0,2.0
477,24,10,7,11,4,7.0,11.0
478,24,12,4,15,\N,4.0,15.0
479,24,13,6,6,5,6.0,6.0
480,24,14,9,13,3,9.0,13.0
481,24,15,7,14,6,7.0,14.0
482,24,16,10,16,\N,10.0,17.0
483,24,17,9,10,12,9.0,10.0
484,24,18,11,20,11,11.0,19.0
485,24,20,5,19,8,5.0,20.0
486,24,21,10,17,\N,10.0,18.0
487,24,22,11,9,7,11.0,9.0
488,25,1,1,13,10,1.0,3.0
489,25,2,2,11,13,2.0,12.0
490,25,3,3,19,16,3.0,15.0
491,25,4,4,3,8,4.0,4.0
492,25,5,1,10,4,1.0,6.0
493,25,6,3,15,15,3.0,16.0
494,25,7,5,14,17,5.0,14.0
495,25,8,6,1,2,6.0,1.0
496,25,9,2,5,5,2.0,7.0
497,25,10,7,8,11,7.0,10.0
498,25,12,4,9,7,4.0,11.0
499,25,13,6,2,1,6.0,2.0
500,25,14,9,7,9,9.0,9.0
501,25,15,7,4,3,7.0,5.0
502,25,16,10,18,19,10.0,20.0
503,25,17,9,6,6,9.0,8.0
504,25,18,11,16,\N,11.0,17.0
505,25,20,5,12,12,5.0,13.0
506,25,21,10,17,18,10.0,19.0
507,25,22,11,20,14,11.0,18.0
508,26,1,1,4,1,1.0,4.0
509,26,2,2,5,2,2.0,5.0
510,26,3,3,20,9,3.0,18.0
511,26,4,4,6,6,4.0,6.0
512,26,5,1,1,5,1.0,1.0
513,26,6,3,15,8,3.0,15.0
514,26,7,5,13,11,5.0,13.0
515,26,8,6,3,4,6.0,3.0
516,26,9,2,10,\N,2.0,10.0
517,26,10,7,12,12,7.0,12.0
518,26,12,4,7,\N,4.0,7.0
519,26,13,6,9,13,6.0,9.0
520,26,14,9,11,\N,9.0,11.0
521,26,15,7,14,7,7.0,14.0
522,26,16,10,18,\N,10.0,19.0
523,26,17,9,2,10,9.0,2.0
524,26,18,11,17,\N,11.0,17.0
525,26,20,5,8,\N,5.0,8.0
526,26,21,10,19,\N,10.0,20.0
527,26,22,11,16,3,11.0,16.0
528,27,1,1,1,1,1.0,1.0
529,27,2,2,12,4,2.0,12.0
530,27,3,3,13,10,3.0,13.0
531,27,4,4,5,11,4.0,5.0
532,27,5,1,3,5,1.0,3.0
533,27,6,3,16,14,3.0,16.0
534,27,7,5,15,12,5.0,15.0
535,27,8,6,6,6,6.0,6.0
536,27,9,2,7,7,2.0,7.0
537,27,10,7,11,\N,7.0,11.0
538,27,12,4,17,2,4.0,17.0
539,27,13,6,2,3,6.0,2.0
540,27,14,9,10,13,9.0,10.0
541,27,15,7,4,9,7.0,4.0
542,27,16,10,19,15,10.0,19.0
543,27,17,9,8,\N,9.0,8.0
544,27,18,11,14,17,11.0,14.0
545,27,20,5,9,8,5.0,9.0
546,27,21,10,20,16,10.0,20.0
547,27,22,11,18,\N,11.0,18.0
548,28,1,1,1,5,1.0,1.0
549,28,2,2,15,10,2.0,16.0
550,28,3,3,14,14,3.0,15.0
551,28,4,4,7,4,4.0,7.0
552,28,5,1,2,1,1.0,2.0
553,28,6,3,16,13,3.0,17.0
554,28,7,5,19,18,5.0,14.0
555,28,8,6,6,3,6.0,6.0
556,28,9,2,4,8,2.0,4.0
557,28,10,7,5,2,7.0,5.0
558,28,12,4,10,6,4.0,10.0
559,28,13,6,3,17,6.0,3.0
560,28,14,9,13,11,9.0,13.0
561,28,15,7,9,7,7.0,9.0
562,28,16,10,20,\N,10.0,20.0
563,28,17,9,8,9,9.0,8.0
564,28,18,11,12,12,11.0,12.0
565,28,20,5,11,\N,5.0,11.0
566,28,21,10,18,15,10.0,19.0
567,28,22,11,17,16,11.0,18.0
568,29,1,1,2,2,1.0,2.0
569,29,2,2,8,9,2.0,8.0
570,29,3,3,9,8,3.0,9.0
571,29,4,4,12,\N,4.0,12.0
572,29,5,1,5,4,1.0,5.0
573,29,6,3,11,15,3.0,11.0
574,29,7,5,10,10,5.0,10.0
575,29,8,6,4,\N,6.0,4.0
576,29,9,2,3,3,2.0,3.0
577,29,10,7,13,7,7.0,13.0
578,29,12,4,15,11,4.0,15.0
579,29,13,6,1,1,6.0,1.0
580,29,14,9,17,17,9.0,17.0
581,29,15,7,7,5,7.0,7.0
582,29,16,10,20,\N,10.0,20.0
583,29,17,9,14,12,9.0,14.0
584,29,18,11,16,13,11.0,16.0
585,29,20,5,6,6,5.0,6.0
586,29,21,10,18,14,10.0,18.0
587,29,22,11,19,16,11.0,19.0
588,30,1,1,1,3,1.0,1.0
589,30,2,2,5,2,2.0,5.0
590,30,3,3,15,12,3.0,15.0
591,30,4,4,6,4,4.0,6.0
592,30,5,1,3,10,1.0,3.0
593,30,6,3,19,14,3.0,19.0
594,30,7,5,9,7,5.0,9.0
595,30,8,6,4,18,6.0,4.0
596,30,9,2,8,6,2.0,8.0
597,30,10,7,13,9,7.0,13.0
598,30,12,4,12,\N,4.0,12.0
599,30,13,6,2,1,6.0,2.0
600,30,14,9,14,11,9.0,14.0
601,30,15,7,11,16,7.0,11.0
602,30,16,10,18,13,10.0,18.0
603,30,17,9,7,8,9.0,7.0
604,30,18,11,17,15,11.0,17.0
605,30,20,5,10,5,5.0,10.0
606,30,21,10,20,17,10.0,20.0
607,30,22,11,16,\N,11.0,16.0
608,31,1,1,15,7,1.0,15.0
609,31,2,2,10,5,2.0,10.0
610,31,3,3,5,14,3.0,5.0
611,31,4,4,8,4,4.0,8.0
612,31,5,1,2,2,1.0,2.0
613,31,6,3,18,12,3.0,18.0
614,31,7,5,4,18,5.0,4.0
