,RaceId,DriverId,ConstructorId,GridNumber,QualifyingPosition,CircuitId,TotalDriverPoints
160,9,1,1,5,5,20,9
161,9,2,2,11,11,20,6
162,9,3,3,15,15,20,20
163,9,4,4,12,12,20,13
164,9,5,1,6,6,20,5
165,9,6,3,13,13,20,0
166,9,7,5,19,20,20,2
167,9,8,6,9,9,20,10
168,9,9,2,16,16,20,2
169,9,10,7,20,19,20,13
170,9,12,4,10,10,20,0
171,9,13,6,8,8,20,22
172,9,15,7,14,14,20,21
173,9,16,10,7,7,20,0
174,9,17,9,1,1,20,45
175,9,18,23,3,3,20,68
176,9,20,9,4,4,20,47
177,9,21,10,18,18,20,0
178,9,22,23,2,2,20,44
179,9,67,5,17,17,20,3
180,10,1,1,4,4,11,19
181,10,2,2,15,16,11,6
182,10,3,3,5,5,11,25
183,10,4,4,1,1,11,13
184,10,5,1,6,6,11,9
185,10,6,3,9,9,11,0
186,10,8,6,7,7,11,18
187,10,9,2,18,19,11,2
188,10,10,7,13,14,11,16
189,10,12,4,14,15,11,0
190,10,13,6,0,10,11,22
191,10,15,7,11,12,11,22
192,10,16,10,17,18,11,0
193,10,17,9,3,3,11,51
194,10,18,23,8,8,11,70
195,10,20,9,2,2,11,47
196,10,21,10,16,17,11,0
197,10,22,23,12,13,11,44
198,10,67,5,10,11,11,3
199,10,153,5,19,20,11,0
200,11,1,1,1,1,12,27
201,11,2,2,11,11,12,6
202,11,3,3,7,7,12,29
203,11,4,4,8,8,12,16
204,11,5,1,2,2,12,14
205,11,6,3,17,17,12,0
206,11,8,6,6,6,12,24
207,11,9,2,10,10,12,3
208,11,10,7,13,13,12,16
209,11,15,7,18,18,12,22
210,11,16,10,12,12,12,0
211,11,17,9,9,9,12,51
212,11,18,23,5,5,12,72
213,11,20,9,4,4,12,47
214,11,21,10,16,16,12,0
215,11,22,23,3,3,12,54
216,11,67,5,15,15,12,3
217,11,69,6,20,20,12,0
218,11,153,5,19,19,12,0
219,11,154,4,14,14,12,0
220,12,1,1,12,12,13,27
221,12,2,2,3,3,13,10
222,12,3,3,10,10,13,30
223,12,4,4,13,13,13,16
224,12,5,1,15,15,13,17
225,12,6,3,18,18,13,0
226,12,8,6,6,6,13,34
227,12,9,2,5,5,13,8
228,12,10,7,7,7,13,16
229,12,15,7,2,2,13,22
230,12,16,10,11,11,13,0
231,12,17,9,9,9,13,51
232,12,18,23,14,14,13,72
233,12,20,9,8,8,13,53
234,12,21,10,1,1,13,8
235,12,22,23,4,4,13,56
236,12,67,5,16,16,13,3
237,12,69,6,20,20,13,0
238,12,153,5,17,17,13,0
239,12,154,4,19,19,13,0
240,13,1,1,1,1,14,27
241,13,2,2,15,15,14,12
242,13,3,3,18,18,14,30
243,13,4,4,8,8,14,20
244,13,5,1,4,4,14,20
245,13,6,3,17,17,14,0
246,13,8,6,3,3,14,40
247,13,9,2,13,13,14,8
248,13,10,7,16,16,14,16
249,13,15,7,11,11,14,22
250,13,16,10,2,2,14,5
251,13,17,9,10,10,14,51
252,13,18,23,6,6,14,80
253,13,20,9,9,9,14,54
254,13,21,6,14,14,14,8
255,13,22,23,5,5,14,66
256,13,24,10,7,7,14,0
257,13,67,5,19,19,14,3
258,13,153,5,20,20,14,0
259,13,154,4,12,12,14,0
260,14,1,1,1,1,15,37
261,14,2,2,20,8,15,12
262,14,3,3,3,3,15,30
263,14,4,4,5,6,15,26
264,14,5,1,8,10,15,22
265,14,6,3,10,11,15,0
266,14,8,6,12,13,15,40
267,14,9,2,7,9,15,9
268,14,10,7,6,7,15,24
269,14,15,7,14,15,15,22
270,14,16,10,15,16,15,5
271,14,17,9,4,4,15,51
272,14,18,23,11,12,15,84
273,14,20,9,2,2,15,59
274,14,21,6,17,18,15,8
275,14,22,23,9,5,15,69
276,14,24,10,19,20,15,0
277,14,67,5,13,14,15,3
278,14,153,5,16,17,15,0
279,14,154,4,18,19,15,0
