,RaceIndexId,RaceId,Year,Round,CircuitId,DriverId,ConstructorId,QualifyingPosition,GridNumber,DriverPosition,TotalDriverPoints,ConstructorPoints,ConstructorPosition
117,553,262,1994,6,7,84.0,1.0,12.0,12.0,\N,6.0,10.0,5.0
118,553,262,1994,6,7,87.0,25.0,13.0,13.0,10,4.0,8.0,6.0
119,553,262,1994,6,7,110.0,15.0,14.0,14.0,\N,3.0,6.0,7.0
120,553,262,1994,6,7,94.0,18.0,15.0,15.0,9,2.0,3.0,9.0
121,553,262,1994,6,7,104.0,29.0,16.0,16.0,\N,3.0,3.0,8.0
122,553,262,1994,6,7,65.0,32.0,17.0,17.0,8,0.0,0.0,11.0
123,553,262,1994,6,7,105.0,18.0,18.0,18.0,11,1.0,3.0,9.0
124,553,262,1994,6,7,44.0,27.0,19.0,19.0,12,0.0,0.0,12.0
125,553,262,1994,6,7,109.0,22.0,20.0,20.0,6,1.0,57.0,1.0
126,553,262,1994,6,7,100.0,33.0,21.0,21.0,\N,1.0,1.0,10.0
127,553,262,1994,6,7,106.0,33.0,22.0,22.0,\N,0.0,1.0,10.0
128,553,262,1994,6,7,70.0,32.0,23.0,23.0,15,0.0,0.0,11.0
129,553,262,1994,6,7,103.0,27.0,24.0,24.0,13,0.0,0.0,12.0
130,553,262,1994,6,7,101.0,31.0,25.0,25.0,14,0.0,0.0,13.0
131,553,262,1994,6,7,92.0,30.0,26.0,26.0,\N,0.0,0.0,14.0
132,554,263,1994,7,8,71.0,3.0,1.0,1.0,2,29.0,31.0,3.0
133,554,263,1994,7,8,95.0,3.0,2.0,2.0,\N,0.0,31.0,3.0
134,554,263,1994,7,8,30.0,22.0,3.0,3.0,1,66.0,67.0,1.0
135,554,263,1994,7,8,55.0,6.0,4.0,4.0,\N,13.0,36.0,2.0
136,554,263,1994,7,8,77.0,6.0,5.0,5.0,3,17.0,36.0,2.0
137,554,263,1994,7,8,56.0,17.0,6.0,6.0,\N,1.0,11.0,4.0
138,554,263,1994,7,8,22.0,17.0,7.0,7.0,\N,7.0,11.0,4.0
139,554,263,1994,7,8,50.0,22.0,8.0,8.0,\N,0.0,67.0,1.0
140,554,263,1994,7,8,57.0,1.0,9.0,9.0,\N,4.0,10.0,5.0
141,554,263,1994,7,8,49.0,15.0,10.0,10.0,4,5.0,10.0,6.0
142,554,263,1994,7,8,110.0,15.0,11.0,11.0,6,4.0,10.0,6.0
143,554,263,1994,7,8,84.0,1.0,12.0,12.0,\N,6.0,10.0,5.0
144,554,263,1994,7,8,44.0,27.0,13.0,13.0,\N,0.0,0.0,12.0
145,554,263,1994,7,8,79.0,25.0,14.0,14.0,\N,4.0,8.0,7.0
146,554,263,1994,7,8,103.0,27.0,15.0,15.0,\N,0.0,0.0,12.0
